date,id,YOLL1,YOLL2,YOLL3,humrel,meantemp,maxtemp,mintemp,o3,year,month,week,YLL,month_mean,yll_total,HW,HW_lag1,HW_lag2,HW_lag3,o3_lag1,o3_lag2,o3_lag3,HW_lag0_2,no2,no2_lag1,no2_lag2,no2_lag3,total_death
8/30/1990,91,1048.23,791,373.61,67.4,17.45,22.5,11.1,10.8333,1,3,13,2212.84,20.58781,2212.84,0,0,0,0,12.5,23.75,27.5,0,2.551563,2.551562,6.65625,7.1,33
8/31/1990,92,835.87,787.74,1064.52,70,20.01,25.1,14.2,19.1667,1,3,13,2688.13,20.58781,2688.13,0,0,0,0,10.83333,12.5,23.75,0,6.878125,2.551563,2.551562,6.65625,38
6/1/1991,93,609.55,923.52,354.39,62.2,18.68,24.8,13.5,22.9167,2,1,1,1887.46,19.30185,1887.46,0,0,0,0,19.16667,10.83333,12.5,0,3.195,6.878125,2.551563,2.551562,30
6/2/1991,94,1457.79,734.71,219.21,51.3,18.56,24,11.4,25.4167,2,1,1,2411.71,19.30185,2411.71,0,0,0,0,22.91667,19.16667,10.83333,0,2.329688,3.195,6.878125,2.551563,33
6/3/1991,95,1085.36,392.59,946.11,56.2,17.63,21.7,11,16.25,2,1,1,2424.06,19.30185,2424.06,0,0,0,0,25.41667,22.91667,19.16667,0,16.79594,2.329688,3.195,6.878125,35
6/4/1991,96,980.97,255.44,724.42,57.6,15.91,18.8,13.4,19.5652,2,1,1,1960.83,19.30185,1960.83,0,0,0,0,16.25,25.41667,22.91667,0,15.06531,16.79594,2.329688,3.195,30
6/8/1991,100,1083.61,710.42,638.04,44,21,26.9,16.5,27.5,2,1,2,2432.07,19.30185,2432.07,0,0,0,0,26.66667,,,0,28.00063,31.00076,26.02594,22.80875,36
6/9/1991,101,1016.84,827.79,381.45,46.1,18.02,23.2,9,27.0833,2,1,2,2226.08,19.30185,2226.08,0,0,0,0,27.5,26.66667,,0,20.47906,28.00063,31.00076,26.02594,33
6/10/1991,102,787.06,647.11,551.05,49.5,23,28.3,16.7,56.6667,2,1,2,1985.22,19.30185,1985.22,0,0,0,0,27.08333,27.5,26.66667,0,32.19406,20.47906,28.00063,31.00076,29
6/11/1991,103,1385.04,1038.34,1097.18,61.8,22.28,25.1,17.5,40,2,1,2,3520.56,19.30185,3520.56,0,0,0,0,56.66667,27.08333,27.5,0,36.27656,32.19406,20.47906,28.00063,51
6/12/1991,104,1226.24,628.94,464.39,75.2,16.01,21.2,8.7,13.75,2,1,2,2319.57,19.30185,2319.57,0,0,0,0,40,56.66667,27.08333,0,27.91187,36.27656,32.19406,20.47906,33
6/13/1991,105,904.7,604.05,630.32,56.4,15.2,20.4,10.8,12.9167,2,1,2,2139.07,19.30185,2139.07,0,0,0,0,13.75,40,56.66667,0,25.7375,27.91187,36.27656,32.19406,30
6/14/1991,106,647.12,1065.04,460.87,51.1,17.87,23.9,8.6,20.4167,2,1,2,2173.03,19.30185,2173.03,0,0,0,0,12.91667,13.75,40,0,34.92313,25.7375,27.91187,36.27656,31
6/15/1991,107,976.45,812.67,844.09,71.9,17.74,20.1,15.5,16.25,2,1,3,2633.21,19.30185,2633.21,0,0,0,0,20.41667,12.91667,13.75,0,37.34156,34.92313,25.7375,27.91187,37
6/16/1991,108,1144.31,1024.78,343.45,88.3,14.9,16.4,13.5,8.33333,2,1,3,2512.54,19.30185,2512.54,0,0,0,0,16.25,20.41667,12.91667,0,16.88469,37.34156,34.92313,25.7375,36
6/17/1991,109,919.72,688.5,362.74,71.4,19.2,25.1,14.2,24.1667,2,1,3,1970.96,19.30185,1970.96,0,0,0,0,8.333333,16.25,20.41667,0,28.95469,16.88469,37.34156,34.92313,28
